# Time (s),Elevator (deg),Throttle,Pitch Rate (deg/s),Pitch Angle (deg),Altitude (m)
1.260000000000000009e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.595979543914211973e+01,-8.097579567660561395e+01,9.192595700981190987e+01
1.270000000000000018e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.273470177003900261e+01,-8.126668864671721337e+01,9.177807813323654784e+01
1.280000000000000027e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.962958779060576475e+01,-8.152190348005726150e+01,9.162844102746812780e+01
1.290000000000000036e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.665408081550227237e+01,-8.174300484291089219e+01,9.147705474343537446e+01
1.300000000000000044e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.381713335874672310e+01,-8.193172528736407401e+01,9.132392896666786442e+01
1.310000000000000053e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.112697746724590431e+01,-8.208994335318337221e+01,9.116907394048254787e+01
1.320000000000000062e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.859108164344456782e+01,-8.221965712777239332e+01,9.101250039137626402e+01
1.330000000000000071e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.621611040103859125e+01,-8.232295485280258163e+01,9.085421945718090342e+01
1.340000000000000080e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.400788662350230851e+01,-8.240198444700361335e+01,9.069424261843522572e+01
1.350000000000000089e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.197135703732060996e+01,-8.245892381905667889e+01,9.053258163330987429e+01
1.360000000000000098e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.011056124725205407e+01,-8.249595358826171321e+01,9.036924847629720148e+01
1.370000000000000107e+00,2.500000000000000000e+01,1.000000000000000000e+00,-8.428604889118190613e+00,-8.251523338439453426e+01,9.020425528075388399e+01
1.380000000000000115e+00,2.500000000000000000e+01,1.000000000000000000e+00,-6.927637522728474551e+00,-8.251888236295145873e+01,9.003761428527160149e+01
1.390000000000000124e+00,2.500000000000000000e+01,1.000000000000000000e+00,-5.608835908425723105e+00,-8.250896404947781093e+01,8.986933778375758664e+01
1.400000000000000133e+00,2.500000000000000000e+01,1.000000000000000000e+00,-4.472393287951386576e+00,-8.248747519548969365e+01,8.969943807903825927e+01
1.409999999999999920e+00,2.500000000000000000e+01,1.000000000000000000e+00,-3.517515231554863675e+00,-8.245633803225595670e+01,8.952792743975786038e+01
1.419999999999999929e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.742422528097288037e+00,-8.241739515628692914e+01,8.935481806032930763e+01
1.429999999999999938e+00,2.500000000000000000e+01,1.000000000000000000e+00,-2.144361492296780192e+00,-8.237240625433368280e+01,8.918012202370296393e+01
1.439999999999999947e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.719621950229361707e+00,-8.232304594391594321e+01,8.900385126674538583e+01
1.449999999999999956e+00,2.500000000000000000e+01,1.000000000000000000e+00,-1.463563045564703957e+00,-8.227090213171553046e+01,8.882601754805919825e+01
